episode_id,video_id,clip_path,person_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,main_label,confidence,intensity,eye_involvement,mouth_movement,cheek_raise,symmetry,visible_quality,usable_for_training,note,occlusion_type,occlusion_start_frame,occlusion_end_frame,occlusion_severity,occlusion_note,occlusion_segments
E000018,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,2218,,2312,73.933,,77.067,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000019,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,2312,,2432,77.067,,81.067,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000020,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,2432,,2611,81.067,,87.033,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000021,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,2611,,3018,87.033,,100.600,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000022,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,3018,3027,3065,100.600,100.900,102.167,bitter_smile,4,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000023,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,3065,,3285,102.167,,109.500,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000024,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,3285,,3308,109.500,,110.267,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000025,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,3308,,4258,110.267,,141.933,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000026,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4258,,4318,141.933,,143.933,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000027,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4318,4336,4362,143.933,144.533,145.400,polite_smile,3,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000028,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4362,,4414,145.400,,147.133,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000029,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4414,4429,4484,147.133,147.633,149.467,truesmile,3,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000030,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4484,,4545,149.467,,151.500,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000031,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4545,,4738,151.500,,157.933,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000032,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,4738,,5178,157.933,,172.600,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000033,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5178,,5290,172.600,,176.333,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000034,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5290,,5372,176.333,,179.067,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000035,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5372,,5448,179.067,,181.600,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000036,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5448,5476,5569,181.600,182.533,185.633,polite_smile,4,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000037,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5569,,5788,185.633,,192.933,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000038,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5788,,5843,192.933,,194.767,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000039,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,5843,5911,6022,194.767,197.033,200.733,truesmile,3,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000040,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,6022,,6077,200.733,,202.567,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000041,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,6077,,6641,202.567,,221.367,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000042,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,6641,,6904,221.367,,230.133,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000043,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,6904,,6942,230.133,,231.400,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000044,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,6942,,7234,231.400,,241.133,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000045,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7234,,7245,241.133,,241.500,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000046,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7245,,7313,241.500,,243.767,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000047,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7313,,7700,243.767,,256.667,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000048,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7700,,7809,256.667,,260.300,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000049,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7809,7832,7849,260.300,261.067,261.633,polite_smile,4,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000050,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7849,,7930,261.633,,264.333,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000051,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7930,7944,7993,264.333,264.800,266.433,polite_smile,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000052,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,7993,,8302,266.433,,276.733,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000053,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,8302,,8318,276.733,,277.267,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000054,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,8318,,8385,277.267,,279.500,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000055,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,8385,,8597,279.500,,286.567,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000056,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,8597,,8691,286.567,,289.700,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000057,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,8691,8718,8720,289.700,290.600,290.667,polite_smile,2,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000058,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,8720,,8999,290.667,,299.967,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000059,20250926_part001_start000290s_end000590s,E:\Matsuda_data\split_videos\20250926_part001_start000290s_end000590s.mp4,,0,18,20,0.000,0.600,0.667,polite_smile,2,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000060,20250926_part001_start000290s_end000590s,E:\Matsuda_data\split_videos\20250926_part001_start000290s_end000590s.mp4,,20,,69,0.667,,2.300,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000061,20250926_part001_start000290s_end000590s,E:\Matsuda_data\split_videos\20250926_part001_start000290s_end000590s.mp4,,69,71,123,2.300,2.367,4.100,polite_smile,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
